# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3945
#@/user_id	ac57c271-be81-4f5d-ad4b-2447d3186ee2
a 	啊	c=8 d=0.181512 t=3945
a 	阿	c=2 d=1.129e-08 t=3945
a 	𥥩	c=1 d=1 t=3910
ai de 	愛的	c=0 d=5.80138e-08 t=3945
ai ji 	埃及	c=1 d=2.52359e-08 t=3945
ai ren 	愛人	c=1 d=0.0944202 t=3945
ai shang 	愛上	c=1 d=2.53624e-08 t=3945
ai yu 	愛玉	c=1 d=0.00293808 t=3945
an pai hao 	安排好	c=0 d=3.57992e-05 t=3945
an pai hao le 	安排好了	c=1 d=0.000359786 t=3945
an quan di yi 	安全第一	c=1 d=3.44845e-05 t=3945
an zhao 	按照	c=0 d=0.000283771 t=3945
ao 	凹	c=1 d=0.110803 t=3945
ba 	八	c=1 d=0.194952 t=3945
ba 	吧	c=7 d=0.283455 t=3945
ba 	巴	c=1 d=2.96095e-06 t=3945
ba 	爸	c=1 d=7.65616e-06 t=3945
ba dian 	八點	c=1 d=5.97704e-05 t=3945
ba fa li ya 	巴伐利亞	c=1 d=1.42715e-08 t=3945
ba li 	巴黎	c=9 d=0.00716929 t=3945
ba qian 	把錢	c=1 d=7.94804e-05 t=3945
ba ri 	八日	c=0 d=3.23925e-05 t=3945
ba ri you 	八日遊	c=1 d=0.000325548 t=3945
ba shan 	巴山	c=0 d=1.67478e-09 t=3945
ba shan xiu cai 	巴山秀才	c=1 d=1.68317e-08 t=3945
ba shu 	巴蜀	c=1 d=0.140858 t=3945
bai 	拜	c=1 d=3.94688e-05 t=3945
bai chi 	白癡	c=1 d=8.17034e-06 t=3945
bai fan 	白飯	c=1 d=0.0281559 t=3945
bai qian 	白錢	c=1 d=0.000221519 t=3945
bai yan 	白眼	c=1 d=0.0175097 t=3945
ban 	半	c=0 d=5.90229e-05 t=3945
ban 	版	c=1 d=0.0320647 t=3945
ban 	班	c=2 d=0.00139197 t=3945
ban 	辦	c=2 d=0.102284 t=3945
ban ben 	版本	c=2 d=0.000805766 t=3945
ban ben bu tong 	版本不同	c=1 d=9.18825e-05 t=3945
ban fu diao 	半浮雕	c=1 d=0.000593188 t=3945
ban gong shi 	辦公室	c=0 d=0.000117088 t=3945
ban kuai 	板塊	c=1 d=3.23198e-07 t=3945
ban xiao shi 	半小時	c=1 d=0.000413853 t=3945
ban yin 	半音	c=3 d=4.08341e-06 t=3945
bang 	幫	c=1 d=9.39973e-08 t=3945
bang ge 	幫個	c=1 d=6.02357e-08 t=3945
bang mang 	幫忙	c=1 d=5.99353e-08 t=3945
bang wo 	幫我	c=1 d=0.0850584 t=3945
bang wo fu qian 	幫我付錢	c=1 d=0.00100779 t=3945
bao 	包	c=3 d=1.64182 t=3945
bao cun 	保存	c=0 d=5.35535e-08 t=3945
bao de hua 	包的話	c=1 d=0.0893673 t=3945
bao guang 	暴光	c=1 d=2.21557e-06 t=3945
bao guo 	包裹	c=2 d=1.04934 t=3945
bao han 	包含	c=1 d=0.0426384 t=3945
bao hu 	保護	c=1 d=0.00578443 t=3945
bao hu fa 	保護法	c=1 d=0.0581343 t=3945
bao liu 	保留	c=1 d=2.0869e-08 t=3945
bao qian 	抱歉	c=1 d=0.327915 t=3945
bao wei 	包圍	c=1 d=0.524663 t=3945
bao zha 	爆炸	c=1 d=3.00621e-08 t=3945
bao zhi 	報紙	c=1 d=2.94668e-08 t=3945
bei 	倍	c=1 d=3.80258e-08 t=3945
bei 	北	c=2 d=0.8373 t=3945
bei 	被	c=3 d=0.193116 t=3945
bei jing 	北京	c=11 d=0.0014796 t=3945
bei jing 	背景	c=2 d=0.481041 t=3945
bei lu 	北路	c=1 d=0.000363402 t=3945
bei zhong gong 	北中共	c=1 d=0.0243554 t=3945
ben di 	本地	c=1 d=1.23133e-07 t=3945
ben gai 	本該	c=1 d=5.44943e-06 t=3945
ben lai 	本來	c=1 d=2.14491e-07 t=3945
ben zhi 	本質	c=1 d=1.06256e-08 t=3945
bi 	比	c=1 d=0.000147019 t=3945
bi 	碧	c=1 d=1.92613e-06 t=3945
bi 	筆	c=4 d=6.0001e-05 t=3945
bi ci bi ci 	彼此彼此	c=2 d=1.65079e-07 t=3945
bi ji 	筆記	c=1 d=0.000387808 t=3945
bi jing 	畢竟	c=2 d=7.26758e-06 t=3945
bi qi 	荸薺	c=1 d=5.28927e-08 t=3945
bi shui 	避稅	c=1 d=0.000211772 t=3945
bi wang chang 	比往常	c=1 d=7.4684e-08 t=3945
bian 	變	c=1 d=0.000220415 t=3945
bian 	遍	c=1 d=0.00470091 t=3945
