# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	306
#@/user_id	ac57c271-be81-4f5d-ad4b-2447d3186ee2
a5 	啊	c=2 d=0.905673 t=306
a5 qiong2 tan3 ke4 	啊窮坦克	c=1 d=0.329559 t=306
an1 quan2 	安全	c=0 d=0.0472367 t=306
an4 zhao4 	按照	c=1 d=0.465334 t=306
ba1 	吧	c=1 d=0.449329 t=306
ba1 li2 	巴黎	c=3 d=1.19732 t=306
ba3 	把	c=1 d=0.97531 t=306
ban4 	半	c=1 d=0.25284 t=306
ban4 yin1 	半音	c=2 d=0.557482 t=306
bao3 hu4 	保護	c=1 d=0.677057 t=306
bao3 jia4 	保價	c=1 d=0.65377 t=306
bei3 	北	c=1 d=0.308819 t=306
ben3 shi4 	本事	c=0 d=0.0527292 t=306
ben3 shi4 shi4 	本事是	c=1 d=0.529935 t=306
bi4 xu1 	必須	c=0 d=0.0615697 t=306
bi4 xu1 yao4 	必須要	c=1 d=0.618783 t=306
bian1 	邊	c=1 d=0.254107 t=306
bie2 ren2 	別人	c=0 d=0.0451581 t=306
bie2 ren2 hui4 	別人會	c=1 d=0.453845 t=306
bu4 	不	c=0 d=0.0458406 t=306
bu4 dong3 	不懂	c=1 d=0.379083 t=306
bu4 he2 li3 	不合理	c=1 d=0.364219 t=306
bu4 kai1 che1 	不開車	c=1 d=0.460704 t=306
cai2 	才	c=0 d=0.0535261 t=306
cai2 zou3 chu1 	才走出	c=1 d=0.537944 t=306
cai3 yong4 	採用	c=1 d=0.727888 t=306
cai3 yong4 de5 	採用的	c=1 d=0.268474 t=306
can1 dian3 	餐點	c=1 d=0.757959 t=306
can1 guan3 	餐館	c=1 d=0.398519 t=306
cha2 	查	c=1 d=0.486752 t=306
cha4 jin4 	差勁	c=0 d=0.0336216 t=306
chan3 ye4 	產業	c=1 d=0.625002 t=306
chang2 	長	c=1 d=1 t=306
chao1 	抄	c=0 d=0.0367879 t=306
chao1 ji2 	超級	c=1 d=0.637628 t=306
chao1 le5 yi1 fen4 	抄了一份	c=1 d=0.369723 t=306
cheng2 du1 	成都	c=3 d=0.937347 t=306
cheng2 dun1 	成噸	c=1 d=0.66365 t=306
cheng2 pin3 	成品	c=1 d=0.67368 t=306
chi1 	吃	c=1 d=1.00641 t=306
chou2 chu2 	躊躇	c=1 d=0.29523 t=306
chu1 lai2 	出來	c=0 d=0.0831104 t=306
chu1 lai2 le5 	出來了	c=1 d=0.83527 t=306
chu4 fa1 	觸發	c=0 d=0.0474734 t=306
chun2 pu2 	淳樸	c=1 d=0.548812 t=306
da4 	大	c=2 d=0.437429 t=306
da4 	𤤊	c=1 d=0.225373 t=306
da4 jia1 	大家	c=1 d=0.218712 t=306
da4 jia1 hao3 	大家好	c=2 d=0.445158 t=306
da4 jia4 	大駕	c=1 d=0.22313 t=306
da4 lu4 	大陸	c=1 d=0.418952 t=306
da4 shi3 guan3 	大使館	c=1 d=0.302704 t=306
dai4 biao3 xing4 	代表性	c=1 d=0.425283 t=306
dang1 shi2 de5 	當時的	c=1 d=0.491644 t=306
dao4 le5 	到了	c=0 d=0.0559898 t=306
de5 	的	c=11 d=7.07449 t=306
di4 qu1 	地區	c=1 d=0.869358 t=306
di4 shang5 	地上	c=1 d=0.404542 t=306
dian4 ying3 yuan4 	電影院	c=2 d=1.16845 t=306
dian4 zi3 	電子	c=0 d=0.0600496 t=306
dian4 zi3 jing3 cha2 	電子警察	c=1 d=0.481909 t=306
dian4 zi3 piao4 	電子票	c=1 d=0.603506 t=306
die2 	疊	c=0 d=0.0440432 t=306
dou1 	都	c=0 d=0.0873716 t=306
dou1 hui2 	都回	c=1 d=0.918512 t=306
dou1 zai4 	都在	c=2 d=0.809094 t=306
dou1 zhao3 bu5 dao4 	都找不到	c=1 d=0.878095 t=306
duan4 	段	c=1 d=0.995012 t=306
er2 	而	c=3 d=1.25654 t=306
fa3 guo2 	法國	c=2 d=1.10479 t=306
fa3 yu3 	法語	c=1 d=0.550222 t=306
fa3 yu3 zhu4 shou3 	法語助手	c=1 d=0.438235 t=306
fan4 zui4 lv4 	犯罪率	c=1 d=0.516851 t=306
fei1 ji1 	飛機	c=0 d=0.0410656 t=306
fen1 yin1 fu2 	分音符	c=0 d=0.0289384 t=306
feng2 	逢	c=1 d=0.99005 t=306
ga2 si3 	軋死	c=0 d=0.032628 t=306
ga2 si3 tong2 	軋死同	c=1 d=0.327915 t=306
gan4 shen2 me5 	幹什麼	c=0 d=0.0448549 t=306
gao1 ji2 	高級	c=1 d=0.647265 t=306
gao1 tie3 	高鐵	c=1 d=0.423162 t=306
ge4 	個	c=1 d=0.932394 t=306
gong1 ju4 	工具	c=1 d=0.416862 t=306
gong4 chan3 dang3 	共產黨	c=1 d=0.429557 t=306
gou4 ru4 	購入	c=1 d=0.704688 t=306
gu3 dai4 	古代	c=0 d=0.0351692 t=306
gu3 dai4 de5 	古代的	c=1 d=0.353455 t=306
gu3 qin2 	古琴	c=1 d=0.440432 t=306
gu4 	顧	c=1 d=0.985112 t=306
guan1 gua3 gu1 du2 	鰥寡孤獨	c=2 d=0.454139 t=306
guan1 zhu4 	關注	c=0 d=0.0453845 t=306
guan1 zhu4 ni3 	關注你	c=1 d=0.45612 t=306
guan3 feng1 qin2 	管風琴	c=1 d=0.23457 t=306
ha1 ha1 ha1 	哈哈哈	c=1 d=0.574072 t=306
hai2 you3 	還有	c=0 d=0.0618783 t=306
hai2 you3 xu3 duo1 	還有許多	c=1 d=0.621885 t=306
han4 lin2 	翰林	c=1 d=0.50409 t=306
hang2 ye4 	行業	c=1 d=0.634448 t=306
hao3 xiang4 	好像	c=0 d=0.0786628 t=306
hao3 xiang4 chi1 	好像吃	c=1 d=0.790571 t=306
hao4 	號	c=1 d=0.511709 t=306
he2 	和	c=2 d=0.853128 t=306
he2 cheng2 dong1 	何承東	c=1 d=0.774916 t=306
hen3 	很	c=1 d=0.348192 t=306
hen3 shao3 	很少	c=1 d=0.740818 t=306
hen3 xiao3 	很小	c=0 d=0.071177 t=306
hen3 xiao3 yi2 bu4 fen4 	很小一部分	c=1 d=0.715338 t=306
hen3 yan2 zhong4 	很嚴重	c=0 d=0.0625002 t=306
hou4 shen3 	候審	c=0 d=0.0774916 t=306
hua1 zhi1 	花枝	c=1 d=0.380983 t=306
hua2 wei4 	華爲	c=3 d=2.31713 t=306
hui2 guo2 	回國	c=0 d=0.0904837 t=306
hui2 qu5 	回去	c=0 d=0.0444858 t=306
hui2 qu5 ni3 de5 	回去你的	c=1 d=0.447088 t=306
hui4 	會	c=0 d=0.0451581 t=306
hui4 yuan2 ka3 	會員卡	c=1 d=0.609571 t=306
ji1 nian2 qian2 	幾年前	c=1 d=0.535261 t=306
ji4 du4 	季度	c=1 d=0.66034 t=306
ji4 lu4 	記錄	c=1 d=0.496585 t=306
ji4 ran2 	既然	c=1 d=0.366045 t=306
jiang4 	降	c=2 d=0.516358 t=306
jiao1 	交	c=1 d=0.2334 t=306
jiao1 tong1 gui1 ze2 	交通規則	c=1 d=0.467666 t=306
jin3 zhang1 	緊張	c=1 d=0.377192 t=306
jing1 guo4 	經過	c=1 d=0.767206 t=306
jing1 zhi4 	精緻	c=0 d=0.0637628 t=306
jing1 zhi4 can1 dian3 	精緻餐點	c=1 d=0.640824 t=306
jiu4 	就	c=2 d=1.52934 t=306
jiu4 dao4 le5 	就到了	c=1 d=0.562705 t=306
jiu4 mei2 you3 	就沒有	c=1 d=0.427415 t=306
ju4 qing2 	劇情	c=0 d=0.0360595 t=306
kai1 che1 	開車	c=0 d=0.0458406 t=306
kan1 zhe5 	看着	c=1 d=0.346456 t=306
ke3 yi3 	可以	c=1 d=0.241714 t=306
kou3 wei4 	口味	c=0 d=0.088692 t=306
kou3 wei4 le5 	口味了	c=1 d=0.891366 t=306
kuai4 dian3 	快點	c=1 d=0.444858 t=306
la1 	拉	c=1 d=0.392586 t=306
lang4 fei4 	浪費	c=0 d=0.0625002 t=306
